Gene,B-A_FC,B-A_logFC,B-A_tstat,B-A_pval,B-A_adjpval,C-A_FC,C-A_logFC,C-A_tstat,C-A_pval,C-A_adjpval,B-C_FC,B-C_logFC,B-C_tstat,B-C_pval,B-C_adjpval
Farsa,1.53,0.61,2.63,0.0233,0.254,-1.58,-0.658,-2.39,0.0353,0.16,2.41,1.27,4.77,5.6E-4,0.0215
Fbxo33,1.76,0.815,1.18,0.261,0.665,6.57,2.72,4.12,0.00165,0.0263,-3.74,-1.9,-4.25,0.00134,0.036
Fbxw7,2.4,1.27,2.23,0.0474,0.337,4.06,2.02,3.63,0.0039,0.0443,-1.69,-0.757,-2.09,0.0606,0.262
Fcer1g,4.61,2.21,8.4,3.74E-6,0.00146,2.63,1.4,5.04,3.61E-4,0.0102,1.75,0.811,3.61,0.00401,0.066
Fgl2,6.93,2.79,4.79,5.45E-4,0.0358,5.59,2.48,4.29,0.00124,0.0219,1.24,0.309,1.05,0.316,0.583
Fh1,-1.72,-0.783,-3.05,0.0109,0.173,-2.32,-1.22,-4.21,0.00143,0.0239,1.35,0.433,1.44,0.177,0.451
Fli1,1.13,0.179,0.643,0.533,0.833,3.33,1.74,6.68,3.24E-5,0.00238,-2.94,-1.56,-6.26,5.83E-5,0.00493
Flna,2.02,1.01,5.64,1.44E-4,0.0147,2.29,1.19,6.51,4.14E-5,0.0026,-1.13,-0.181,-1.12,0.286,0.557
Flt3,-7.34,-2.88,-12.3,7.96E-8,1.01E-4,-209.0,-7.71,-4.23,0.00136,0.0232,28.5,4.83,2.64,0.0229,0.165
Fnbp1,2.63,1.39,4.15,0.00158,0.0683,5.43,2.44,7.44,1.2E-5,0.0012,-2.06,-1.05,-3.89,0.00247,0.0502
Fnbp4,1.69,0.761,2.21,0.0487,0.341,-1.96,-0.968,-2.14,0.0549,0.209,3.31,1.73,3.9,0.00243,0.0498
Foxj3,1.78,0.832,1.88,0.0869,0.442,3.85,1.94,4.54,8.2E-4,0.0168,-2.16,-1.11,-3.18,0.0086,0.099
Frmd6,-5.01,-2.32,-4.15,0.00156,0.0683,-5.31,-2.41,-4.59,7.56E-4,0.016,1.06,0.0854,0.128,0.9,0.956
Furin,1.99,0.992,2.86,0.0154,0.206,4.93,2.3,6.94,2.29E-5,0.00188,-2.48,-1.31,-4.61,7.34E-4,0.0249
Fut7,2.7,1.43,5.0,3.88E-4,0.0295,1.54,0.622,2.0,0.0699,0.239,1.75,0.811,3.02,0.0114,0.113
Fyn,-1.42,-0.51,-1.48,0.166,0.561,2.25,1.17,3.74,0.00317,0.0387,-3.2,-1.68,-5.19,2.86E-4,0.0141
Gabarapl1,-2.31,-1.21,-3.28,0.00727,0.142,-2.99,-1.58,-3.78,0.00298,0.0374,1.29,0.369,0.826,0.426,0.681
Galk2,1.08,0.114,0.311,0.762,0.935,2.79,1.48,4.29,0.00124,0.0219,-2.58,-1.37,-4.09,0.00175,0.0409
Galnt1,1.15,0.197,1.19,0.26,0.665,2.62,1.39,8.66,2.79E-6,4.09E-4,-2.28,-1.19,-7.88,7.01E-6,0.0011
Galnt12,-1.63,-0.703,-0.916,0.379,0.75,7.2,2.85,6.22,6.22E-5,0.00333,-11.7,-3.55,-4.8,5.37E-4,0.0213
Gapt,2.56,1.36,4.49,8.86E-4,0.0483,-3.32,-1.73,-3.06,0.0108,0.0784,8.52,3.09,5.39,2.1E-4,0.0116
Gas5,-1.41,-0.491,-1.68,0.121,0.501,-2.34,-1.23,-3.63,0.00389,0.0443,1.67,0.738,2.12,0.057,0.256
Gata3,201.0,7.65,3.84,0.00267,0.0884,948.0,9.89,4.98,3.98E-4,0.0106,-4.73,-2.24,-7.1,1.86E-5,0.00211
Gclc,1.37,0.453,1.49,0.165,0.561,11.6,3.54,13.2,3.82E-8,4.85E-5,-8.49,-3.09,-12.4,7.55E-8,1.44E-4
Gcnt1,3.35,1.74,2.82,0.0166,0.216,8.11,3.02,5.0,3.9E-4,0.0106,-2.42,-1.28,-3.83,0.00273,0.0527
Gfm1,1.24,0.305,1.07,0.308,0.703,-2.08,-1.05,-3.03,0.0113,0.0811,2.56,1.36,3.99,0.00207,0.0459
Gimap5,3.37,1.75,2.7,0.0204,0.24,5.56,2.47,3.89,0.00247,0.0337,-1.65,-0.723,-1.81,0.098,0.336
Glipr2,-3.96,-1.98,-3.16,0.00895,0.157,1.44,0.526,1.27,0.23,0.471,-5.7,-2.51,-3.98,0.00211,0.0465
Gm1966,-3.12,-1.64,-3.65,0.00375,0.106,-5.88,-2.56,-4.46,9.38E-4,0.0185,1.89,0.915,1.44,0.177,0.451
Gm2a,-2.51,-1.33,-4.58,7.63E-4,0.0437,1.01,0.019,0.0712,0.945,0.976,-2.54,-1.35,-4.54,8.17E-4,0.0266
Gna12,2.1,1.07,4.52,8.48E-4,0.0475,1.28,0.356,1.38,0.195,0.428,1.64,0.716,3.04,0.0111,0.111
Gnai3,1.66,0.731,3.6,0.00409,0.112,2.61,1.39,6.84,2.63E-5,0.00206,-1.57,-0.655,-3.54,0.00451,0.0701
Gng12,-1.32,-0.398,-1.59,0.14,0.526,-4.09,-2.03,-6.08,7.52E-5,0.00369,3.1,1.63,4.77,5.62E-4,0.0215
Gnl3,-1.18,-0.237,-0.623,0.546,0.839,-3.9,-1.96,-3.84,0.00268,0.0354,3.31,1.72,3.32,0.00675,0.0876
Gnptab,-2.17,-1.12,-3.39,0.00591,0.13,-4.84,-2.28,-5.36,2.19E-4,0.00765,2.23,1.16,2.6,0.0246,0.17
